nazw;X;Y;z_top;z_bot;g_wer
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;138.31;135.21;Si3
LK86181W/W51/4+016/MK/8w;6512290.17;5690076.32;120.91;119.91;Sa6
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;120.34200000000001;120.34200000000001;
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;145.342;144.74200000000002;Hu
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;140.942;140.24200000000002;Sa5
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;130.042;129.242;Sa3
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;127.34200000000001;126.44200000000001;Sa3
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;126.44200000000001;125.542;Sa2
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;144.74200000000002;143.842;Pt
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;143.842;143.14200000000002;Sa1b
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;143.14200000000002;140.94200000000004;Sa4b
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;140.24200000000002;139.64200000000002;Sa2
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;139.64200000000002;137.842;Si3
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;137.842;136.842;Si3
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;136.842;136.14200000000002;Si2
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;136.14200000000002;134.842;Si2
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;134.842;132.942;Si3
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;132.942;130.042;Sa2
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;129.24200000000002;127.34200000000001;Sa2
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;125.54200000000002;124.94200000000002;Sa5
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;124.34200000000001;123.54200000000002;Sa6
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;123.54200000000002;120.34200000000001;Cl4
LK86181W/W51/4+016/MK/3w;6512333.44;5690087.13;124.94200000000001;124.34200000000001;Sa6
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;119.96700000000001;119.96700000000001;
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;144.967;144.36700000000002;Hu
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;144.36700000000002;143.467;Pt
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;143.467;141.967;Sa1a
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;141.967;139.467;Sa1b
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;139.467;138.86700000000002;Si2
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;138.86700000000002;138.16700000000003;Si2
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;138.167;137.467;Si3
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;137.467;136.86700000000002;Si3
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;136.86700000000002;135.967;Si2
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;135.967;134.36700000000002;Si2
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;134.36700000000002;133.76700000000002;Si3
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;133.76700000000002;132.66700000000003;Si3
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;131.667;128.467;Sa3
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;132.667;131.667;Sa2
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;128.467;125.46700000000001;Sa3
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;125.46700000000001;124.16700000000002;Sa6
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;124.16700000000002;122.66700000000002;Sa6
LK86181W/W51/4+016/MK/6w;6512323.55;5690063.99;122.66700000000002;119.96700000000001;Cl4
